Model Type,Textual Feature,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
random_forest,stopwords_removal_nltk,0.5,False,False,True,False,0.5631067961165048,0.5728155339805825,7.4395201206207275
random_forest,stopwords_removal_nltk,0.5,False,False,False,False,0.6359223300970874,0.6456310679611651,7.592310667037964
random_forest,stopwords_removal_nltk,0.6,True,True,True,False,0.5728155339805825,0.5728155339805825,7.708604097366333
random_forest,stopwords_removal_nltk,0.6,True,True,False,False,0.6504854368932039,0.6504854368932039,7.255445957183838
random_forest,stopwords_removal_nltk,0.6,True,False,True,False,0.5533980582524272,0.5631067961165048,7.639079809188843
random_forest,stopwords_removal_nltk,0.6,True,False,False,False,0.6553398058252428,0.6456310679611651,7.175009727478027
random_forest,stopwords_removal_nltk,0.6,False,True,True,False,0.6116504854368932,0.6019417475728155,9.305270910263062
random_forest,stopwords_removal_nltk,0.6,False,True,False,False,0.6359223300970874,0.5194174757281553,9.493278980255127
random_forest,stopwords_removal_nltk,0.6,False,False,True,False,0.5388349514563107,0.5825242718446602,7.803480863571167
random_forest,stopwords_removal_nltk,0.6,False,False,False,False,0.6359223300970874,0.6310679611650486,8.051191806793213
random_forest,stopwords_removal_nltk,0.7,True,True,True,False,0.6213592233009708,0.6310679611650486,7.7774598598480225
random_forest,stopwords_removal_nltk,0.7,True,True,False,False,0.6504854368932039,0.6504854368932039,7.5165369510650635
random_forest,stopwords_removal_nltk,0.7,True,False,True,False,0.5970873786407767,0.5970873786407767,7.857164621353149
random_forest,stopwords_removal_nltk,0.7,True,False,False,False,0.6553398058252428,0.6456310679611651,7.601940870285034
random_forest,stopwords_removal_nltk,0.7,False,True,True,False,0.5679611650485437,0.46601941747572817,10.61116909980774
random_forest,stopwords_removal_nltk,0.7,False,True,False,False,0.6359223300970874,0.48058252427184467,10.402820110321045
random_forest,stopwords_removal_nltk,0.7,False,False,True,False,0.5631067961165048,0.6504854368932039,8.456973791122437
random_forest,stopwords_removal_nltk,0.7,False,False,False,False,0.6359223300970874,0.6310679611650486,8.60149621963501
random_forest,stopwords_removal_nltk,0.8,True,True,True,False,0.6019417475728155,0.6262135922330098,7.718712091445923
random_forest,stopwords_removal_nltk,0.8,True,True,False,False,0.6504854368932039,0.6504854368932039,7.86945104598999
