Model Type,Textual Feature,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
mlp,stopwords_removal_lemmatization,0.5,False,True,False,False,0.5533980582524272,0.5533980582524272,24.259572982788086
mlp,stopwords_removal_lemmatization,0.5,False,False,True,False,0.587378640776699,0.587378640776699,24.033245086669922
mlp,stopwords_removal_lemmatization,0.5,False,False,False,False,0.558252427184466,0.558252427184466,24.703272104263306
mlp,stopwords_removal_lemmatization,0.6,True,True,True,False,0.5242718446601942,0.529126213592233,24.32372498512268
mlp,stopwords_removal_lemmatization,0.6,True,True,False,False,0.558252427184466,0.5631067961165048,24.458516120910645
mlp,stopwords_removal_lemmatization,0.6,True,False,True,False,0.5631067961165048,0.5631067961165048,24.236679077148438
mlp,stopwords_removal_lemmatization,0.6,True,False,False,False,0.5533980582524272,0.5679611650485437,25.50319266319275
mlp,stopwords_removal_lemmatization,0.6,False,True,True,False,0.529126213592233,0.5145631067961165,26.465555906295776
mlp,stopwords_removal_lemmatization,0.6,False,True,False,False,0.5533980582524272,0.558252427184466,28.920173168182373
mlp,stopwords_removal_lemmatization,0.6,False,False,True,False,0.529126213592233,0.529126213592233,31.49653196334839
mlp,stopwords_removal_lemmatization,0.6,False,False,False,False,0.558252427184466,0.5631067961165048,31.09740686416626
mlp,stopwords_removal_lemmatization,0.7,True,True,True,False,0.5533980582524272,0.5679611650485437,29.334486961364746
mlp,stopwords_removal_lemmatization,0.7,True,True,False,False,0.558252427184466,0.5631067961165048,29.269512176513672
mlp,stopwords_removal_lemmatization,0.7,True,False,True,False,0.5533980582524272,0.558252427184466,30.828064918518066
mlp,stopwords_removal_lemmatization,0.7,True,False,False,False,0.5533980582524272,0.5679611650485437,39.13503694534302
mlp,stopwords_removal_lemmatization,0.7,False,True,True,False,0.5097087378640777,0.5145631067961165,48.781566858291626
mlp,stopwords_removal_lemmatization,0.7,False,True,False,False,0.5533980582524272,0.558252427184466,40.58636689186096
mlp,stopwords_removal_lemmatization,0.7,False,False,True,False,0.5485436893203883,0.5533980582524272,41.065988302230835
mlp,stopwords_removal_lemmatization,0.7,False,False,False,False,0.558252427184466,0.5679611650485437,44.805171966552734
mlp,stopwords_removal_lemmatization,0.8,True,True,True,False,0.5922330097087378,0.5825242718446602,39.698508977890015
mlp,stopwords_removal_lemmatization,0.8,True,True,False,False,0.558252427184466,0.558252427184466,42.67494583129883
mlp,stopwords_removal_lemmatization,0.8,True,False,True,False,0.5679611650485437,0.5825242718446602,44.40696978569031
mlp,stopwords_removal_lemmatization,0.8,True,False,False,False,0.5533980582524272,0.5679611650485437,40.96040225028992
mlp,stopwords_removal_lemmatization,0.8,False,True,True,False,0.49029126213592233,0.49514563106796117,37.73747515678406
mlp,stopwords_removal_lemmatization,0.8,False,True,False,False,0.5533980582524272,0.5631067961165048,41.60485506057739
mlp,stopwords_removal_lemmatization,0.8,False,False,True,False,0.5970873786407767,0.5970873786407767,37.57041668891907
mlp,stopwords_removal_lemmatization,0.8,False,False,False,False,0.558252427184466,0.5728155339805825,45.66279101371765
